SAMI3 -> RAIJU source-domain L scan
audit_h5 /online1/jiaoy_group/jiaoy/MAGE1.25/kaiju_sami3_voltron_moments_20260523/analysis/sami3_raiju_flux_volume_geometry_audit_lon0_bvol_overlap_exclude_lmax_20260526.h5
weights_h5 /online1/jiaoy_group/jiaoy/MAGE1.25/kaiju_sami3_voltron_moments_20260523/analysis/sami3_to_raiju_weights_voltron_tubeshell_l_mlt_lon0_bin_bvol_overlap_exclude_lmax_20260526.h5
source_l_dataset source/Lb_cc
source_bvol_dataset source/bvol_active_cc
source_positive_cell_count 33676
source_positive_bvol_sum 2268463.9951948179
source_L_min 1.0192675590515137
source_L_max 553.77520751953125
source_L_bvol_weighted_mean 354.10948435454907
current_target_Lmax 33.163437477526358 dipole_lat_deg 10

threshold_scan
Lmax dipole_lat_deg included_fraction excluded_fraction included_source_count
33.163437477526358 10 0.00040403489596483634 0.99959596510403514 27824
50 8.1301023541559783 0.0017470308214748563 0.99825296917852513 28968
100 5.7391704772667866 0.017065090174806213 0.98293490982519383 31088
150 4.6833944421758114 0.052912857749114355 0.94708714225088564 32404
200 4.054807227997089 0.10878236619973114 0.89121763380026886 32912
250 3.6261234325297131 0.21190306569132869 0.78809693430867134 33224
300 3.3098138976419396 0.30961166546734475 0.69038833453265525 33380
350 3.0640484914018029 0.52302295314530889 0.47697704685469111 33520
400 2.8659839825988622 0.56591272730674957 0.43408727269325043 33560
450 2.7019503016103985 0.79647476348729651 0.20352523651270349 33624
500 2.563200040973856 0.86671437167782139 0.13328562832217861 33648
553.77520751953125 2.4354918016999787 1.0000000000000004 -4.4408920985006262e-16 33676

required_Lmax_by_bvol_quantile
quantile Lmax_required dipole_lat_deg included_fraction_at_Lmax source_count_at_Lmax
0.001 42.964096069335938 8.7754435463789644 0.0010002036974314477 28408
0.0050000000000000001 71.129859924316406 6.8095678540962314 0.005002214840345299 29971
0.01 83.380256652832031 6.2872823146673866 0.010004258214431089 30558
0.050000000000000003 145.15077209472656 4.7611612717330543 0.05001947215257832 32334
0.10000000000000001 180.75912475585938 4.2655375358977992 0.10031076502465318 32802
0.25 275.260986328125 3.4555215977447857 0.25013259943994287 33304
0.5 317.86959838867188 3.2153341262063364 0.50294607429013605 33484
0.75 448.2437744140625 2.7072422022041667 0.75416210721062305 33617
0.90000000000000002 530.341796875 2.4887500489286509 0.9041520037451809 33658
0.94999999999999996 545.76055908203125 2.4533204264640536 0.95324875000511433 33668
0.98999999999999999 553.77484130859375 2.4354926074797798 0.99402313686404331 33675
0.999 553.77520751953125 2.4354918016999787 1 33676
